"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
11,"Safety Study of a Novel Wearable Phototherapy System for the Management of Acute Burn Wounds","Recruiting","No Results Available","Burn Wound","Device: Low-Irradiance Monochromatic Biostimulation (LIMB) Device|Other: Standard of Care","Shriners Hospitals for Children-Boston, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03948360"
12,"A Test of Different Kinds of Bandages on Healing of Wounds","Completed","Has Results","Wound Healing","Device: 6660|Device: 4314|Device: 8336|Device: 4840","Hill Top Research, St. Petersburg, Florida, United States","https://ClinicalTrials.gov/show/NCT01770860"
13,"Effect of Replacing Buried Sutures With Tissue Adhesive on Aesthetic Outcome of Surgical Wounds.","Terminated","No Results Available","Surgical Wound","Procedure: Closure of surgical wounds using buried sutures or tissue adhesive on aesthetic outcome.","West Virginia University University Town Centre Dermatology Clinic, Morgantown, West Virginia, United States","https://ClinicalTrials.gov/show/NCT03425370"
14,"Obtaining and Storing Wound Debridment Samples For Immediate or Future Wound-Related Scientific Study","Enrolling by invitation","No Results Available","Wound",,"Soutwest Regional Wound Care Center, Lubbock, Texas, United States","https://ClinicalTrials.gov/show/NCT00759499"
15,"Genetic and Epigenetic Basis of Chronic Wounds","Recruiting","No Results Available","Chronic Wounds","Other: no interventions","IU Health Methodist Hospital, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT03793062"
16,"Platelets for Acute Wound Healing","Completed","No Results Available","Wounds","Device: autologous platelet gel","DaVita Clinical Research, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00125086"
17,"Comparison of a Novel Wound Dressing Stratamed Versus Current Clinical Practice After Follicular Unit Extraction Hair Transplantation","Completed","No Results Available","Wounds and Injuries","Device: Treatment - Stratamed","New Jersey Plastic Surgery, Montclair, NJ USA, Montclair, New Jersey, United States","https://ClinicalTrials.gov/show/NCT03843996"
18,"A Comparison Study of the Tensile Strength of Sutures Used in Dermatologic Surgery on the Day of Suture Removal, Following Wound Care With Two Different Products","Completed","No Results Available","Sutured Wounds","Other: Hydrogen peroxide|Other: Saline","University of Miami Hospital and Clinics/Sylvester Comprehensive Cancer Center, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT01533675"
19,"Manuka Honey for Wound Care","Terminated","No Results Available","Wound Healing","Drug: Manuka Honey Dressing","Icahn School of Medicine at Mount Sinai, New York, New York, United States","https://ClinicalTrials.gov/show/NCT02259491"
20,"Stromal Vascular Fraction From Lipoaspirate to Treatment of Chronic Non-healing Wound","Recruiting","No Results Available","Chronic Wounds","Drug: Antria Cell Preparation Process","Indiana Regional Medical Center, Indiana, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03882983"
21,"WEMR With Clinical Decision Support for All Wounds","Recruiting","No Results Available","Chronic Wounds",,"Winthrop University Hospital, Mineola, New York, United States","https://ClinicalTrials.gov/show/NCT02055599"
22,"Comparative Effectiveness Study of MIST Therapy Versus Negative Pressure Wound Therapy","Withdrawn","No Results Available","Wounds","Device: MIST Therapy|Device: Vacuum Assisted Closure|Device: MIST Therapy and Negative Pressure Wound Therapy","Trillium Specialty Hospital, Mesa, Arizona, United States","https://ClinicalTrials.gov/show/NCT01200563"
23,"Comparison of Two Methods of Securing Skin Grafts Using Negative Pressure Wound Therapy: Vacuum Assisted Closure (VAC) and Gauze Suction (GSUC)","Completed","Has Results","Wound Healing","Device: GSUC|Device: VAC","University of Chicago Medical Center, Section of Plastic and Reconstructive Surgery, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT00952120"
24,"Platelets in Acute Wounds: A Pilot Study (PAWS)","Completed","No Results Available","Wounds","Procedure: application of autologous platelet gel","DaVita Clinical Research, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00199992"
25,"Tap Water Versus Normal Saline for Wound Irrigation","Completed","No Results Available","Wound Infection Rate","Procedure: wound irrigation with study fluid","Stanford University Medical Center, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT01564342"
26,"A Comparison of Monosyn and Monocryl Sutures in Surgical Wounds","Completed","No Results Available","Wounds","Other: Absorable, monofilament sutures: Monosyn and Monocryl","Tufts Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00731913"
27,"Efficacy Study of a New Antimicrobial Wound Dressing to Treat Wounds Caused by Curettage and Electrodesiccation","Completed","Has Results","Acute Wounds","Other: Procellera™ Antimicrobial Dressing|Other: Mepilex® Border Lite|Device: Adhesive Bandage","Sheftel Associates Dermatology, Tucson, Arizona, United States","https://ClinicalTrials.gov/show/NCT00816101"
28,"An Evaluation of a Collagen Dressing to Treat Chronic, Stalled Lower-extremity Wounds","Terminated","No Results Available","Wound","Device: Fibrillar collagen powder dressing","Cleveland Foot and Ankle Clinic, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT03723603"
29,"An Evaluation of a Fibrillar Collagen Dressing to Treat Chronic, Stalled Lower-extremity Wounds","Withdrawn","No Results Available","Wound","Device: Fibrillar collagen powder dressing","Valley Foot and Ankle Specialty Providers, Fresno, California, United States","https://ClinicalTrials.gov/show/NCT03723577"
30,"Swab Sample Collection for the Detection of Bacterial Proteases in Wounds Assay","Completed","No Results Available","Chronic Wounds With Different Etiologies","Other: Swabs","St. John Wound Center, Tulsa, Oklahoma, United States","https://ClinicalTrials.gov/show/NCT01750203"
31,"Patterned Electric Dressing Effects on Open Wounds","Recruiting","No Results Available","Amputation|Open Wound","Other: No Interventions","IU Health Methodist Hospital, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT04018469"
32,"Helping Individuals With Firearm Injuries","Active, not recruiting","No Results Available","Wounds, Gunshot","Behavioral: Critical Time Intervention|Other: Treatment as Usual|Behavioral: Motivational Interviewing|Other: Multi-Agency Attention","Harborview Medical Center, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT02630225"
33,"Evaluation of the Use of EZCare◊ in the Management of Acute and Chronic Wounds","Completed","No Results Available","Wounds","Device: EZCARE Negative Pressure Wound Therapy System","UMass Memorial Medical Center, Worcester, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00994162"
34,"Staples Versus Suture for Cesarean Wound Closure","Terminated","Has Results","Wound","Device: Surgical staples|Device: Absorbable Surgical Suture","UAB Hospital, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT01008449"
35,"Trauma Services Intervention to Prevent Violence","Completed","No Results Available","Skin Injury Due to Violence|Gunshot Wound, Contact","Behavioral: Social Work Case Management","University of Pittsburgh, Graduate School of Public Health, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT02642224"
36,"Wound Necrosis in Lower Extremity Surgery","Recruiting","No Results Available","Extremity Lower Wounds","Combination Product: SPY Intra-operative Angiography","Mayo Clinic Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT03351387"
37,"Laser Speckle Imaging for Wound Perfusion Monitoring (WoundImager)","Completed","No Results Available","Wounds and Injuries",,"Winchester Medical Center, Winchester, Virginia, United States","https://ClinicalTrials.gov/show/NCT01675583"
38,"Safety and Efficacy of AR/101 in Accelerating Re-epithelialization of Split Thickness Wounds","Unknown status","No Results Available","Wounds and Injuries","Drug: AR/101|Drug: Placebo","Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT02602184"
39,"Investigation of a Novel Wound Gel to Improve Wound Healing in Chronic Wounds","Recruiting","No Results Available","Wound Infection","Drug: Benzalkonium Gel|Other: standard of care topical gel|Procedure: Debridement|Drug: benzalkonium irrigation|Other: Saline Irrigation (SOC Irrigation)","Medstar Georgetown University Hospital, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT03686904"
40,"Autologous Regeneration of Tissue (ART) for Wound Healing","Recruiting","No Results Available","Chronic Wound","Device: Autologous Regeneration of Tissue (ART) device","University of Miami, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT03796988"
41,"Effectiveness of Embrace Scar Therapy Device After Cutaneous Wound Closure","Recruiting","No Results Available","Linear Cutaneous Wound","Device: Embrace Scar Therapy Device|Other: Standard of Care","University of California, Davis, Department of Dermatology, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT03294863"
42,"Negative Pressure Therapy for Groin Wounds","Recruiting","No Results Available","Wound Infection","Device: Prevena|Device: Traditional Dressing","Englewood Hospital and Medical Center, Englewood, New Jersey, United States","https://ClinicalTrials.gov/show/NCT02954835"
43,"Microlyte Dressing in the Management of Wounds","Completed","No Results Available","Wound Heal","Device: Wound Healing","Mission Health System, Asheville, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03204851"
44,"Prophylactic Antibiotics for Prevention of Wound Complications Following Vulvectomy","Completed","Has Results","Wound Infection","Drug: Cefazolin PostOperatively|Drug: Cefazolin Preoperatively","Aultman Health Foundation, Canton, Ohio, United States","https://ClinicalTrials.gov/show/NCT00550290"
45,"Autologous Regenerative Technology (ART) For Wound Healing","Recruiting","No Results Available","Chronic Wounds","Device: Autologous Regenerative Technology (ART)","Stanford Advanced Wound Care Center, Redwood City, California, United States","https://ClinicalTrials.gov/show/NCT03368534"
46,"Gene Expression Profiles in Healing and Non-Healing Wounds","Recruiting","No Results Available","Wounds and Injuries",,"Comprehensive Wound Center, The Ohio State University Wexner Medical Center, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT01101854"
47,"Procellera and Negative Pressure Therapy for Acute Wounds","Completed","Has Results","Wound","Device: Procellera|Device: negative pressure therapy","University Hosptial East, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT01938066"
48,"Postoperative Care of Sutured Wounds","Enrolling by invitation","No Results Available","Wound Healing","Drug: 3% H2O2 solution|Drug: 0.9% normal saline","Northwestern University Feinberg School of Medicine, Department of Dermatology, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT02383992"
49,"Bioelectric Field Imaging Near Human Skin Wounds","Completed","No Results Available","Wounds",,"Virginia Clinical Research, Inc., Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT00355823"
50,"Overlaying a Visual Wound Trace Onto Its Thermal Image in a Wound Clinic","Completed","No Results Available","Wounds and Injuries","Device: Scout takes visual and thermal images of external wounds|Device: ImageReview's visual perimeter trace of the external wound|Device: ImageReview's External Wound Trace Overlay|Device: ImageReview's unaffected reference area selected|Device: Adjacent tissue trace of the wound trace overlay","Integrative Center for Healing, Cincinnati, Ohio, United States","https://ClinicalTrials.gov/show/NCT02028390"
51,"Assessment of the Improvement of Wound Healing Rate and Wound Bioburden With the Combination of Next Science Wound Gel and Wash","Terminated","No Results Available","Chronic Wound","Device: Next Science Group|Device: Control Group|Device: Antibacterial Control Group","Advancing the Zenith of Healthcare, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT03738579"
52,"The Clinical Efficacy of Next Science Wound Gel (NXTSC) in the Healing of Chronic Wounds","Completed","Has Results","Wound Infection","Device: NXTSC wound gel|Device: NXTSC wound gel plus Standard of Care|Device: Standard of Care Group","Southwest Regional Wound Care Center, Lubbock, Texas, United States","https://ClinicalTrials.gov/show/NCT02465073"
53,"Study of the Effectiveness of Autologous Bone Marrow-Derived Mesenchymal Stem Cells in Fibrin to Treat Chronic Wounds","Terminated","No Results Available","Non Healing Wounds","Genetic: Stem Cell","Roger Williams Medical Center, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT01751282"
54,"Trial of Versajet Compared With Conventional Treatment in Acute and Chronic Wounds","Completed","Has Results","Surgical Wound Dehiscence","Device: VERSAJET|Procedure: Scalpel or blade","Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01050673"
55,"Negative Pressure Wound Therapy: Are All Systems Alike?","Terminated","Has Results","Wounds","Device: KCI -VAC|Device: Versatile One (EZCare)","Cleveland Clinic, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT00590369"
56,"A Study of the Effects of Molecular Diagnostic Directed Wound Gels on Wound Care Outcomes","Completed","No Results Available","Wounds",,"Southwest Regional Wound Care Center, Lubbock, Texas, United States","https://ClinicalTrials.gov/show/NCT01319149"
57,"A Study to Investigate Two Atteris Antimicrobial Products on Chronic Wound Healing.","Terminated","No Results Available","Chronic Wounds","Device: Atteris Antimicrobial Skin and Wound Cleanser|Device: Atteris Antimicrobial Barrier Film Dressing","AZH Wound & Hyperbaric Center, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT03198169"
58,"A Study to Evaluate a Quality Improvement Intervention to Reduce Wound Separation Rates in Obese Gynecologic Oncology Service Patients Undergoing Abdominal Surgery","Completed","No Results Available","Wound Complications|Wound Infection|Wound Separation","Procedure: Prospective wound complication protocol","Washington University School of Medicine and Barnes Jewish Hospital, St Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT02071251"
59,"Chitosan Dressings to Facilitate Safe Effective Debridement of Chronic Wounds & Minimize Wound Bacterial Re-colonization","Terminated","Has Results","Wound Debridement","Device: HemCon Dressings and HemCon ChitoGauze; chitosan-based.|Device: Gauze and saline dressings.","Northwestern University, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT01035944"
60,"Study to Determine if Fibrin Affects the Ability of a Wound to Heal","Completed","Has Results","Effect of Test Articles on the Healing of a Wound Artificially Induced by Liquid Nitrogen Spray","Biological: Fibrin|Other: White Petrolatum","Dept of Dermatology, University of Miami, Miami., Florida, United States","https://ClinicalTrials.gov/show/NCT01253135"
61,"Comparing Outcomes for Prontosan Versus Normal Saline for Negative Pressure Wound Therapy With Instillation","Completed","Has Results","Wound Infection","Drug: Normal saline|Device: Prontosan","Medstar Georgetown University Hospital Center for Wound Healing, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT01939145"
62,"Pilot Study Comparing Taliderm™ Dressing Versus Standard of Care for Open Incision and Drainage of Wounds","Completed","No Results Available","Wounds","Other: Taliderm™|Other: standard wet to dry dressing with gauze","University Hospital, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT00686296"
63,"Use of Morphine Gel Topically in Patients With Stage 2-3 Wounds","Unknown status","No Results Available","Wounds","Drug: morphine topical gel|Drug: placebo","Banner Good Samaritan Medical Center, Phoenix, Arizona, United States","https://ClinicalTrials.gov/show/NCT00755989"
64,"Negative Pressure Wound Therapy in Cesarean Section","Completed","Has Results","Postoperative Wound Complications","Device: Negative pressure wound therapy","Parkland Memorial Hospital, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT02289157"
65,"Wound Healing of Incisional Wounds for Bilateral Hernia Repair","Withdrawn","No Results Available","Wound Healing","Drug: Dermabond|Drug: Hydrogen Peroxide Oxygen producing gel","Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States","https://ClinicalTrials.gov/show/NCT01008111"
66,"Study to Determine if Shock Wave Therapy Applied to Traumatic Wounds of the Extremity Improves Healing Time","Unknown status","No Results Available","Soft Tissue Injuries","Device: DermaGold","Walter Reed Army Medical Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT00486733"
67,"Autologous Platelet Gel in Wound Healing of Coronary Artery Bypass Grafting (CABG) Patients","Withdrawn","No Results Available","Wounds|Infection","Biological: autologous platelet gel","University of Nebraska Medical Center, Omaha, Nebraska, United States","https://ClinicalTrials.gov/show/NCT00672672"
68,"Effectiveness of CelluTome Epidermal Harvesting System in Autologous Skin Grafting of Chronic Wound Patients","Withdrawn","No Results Available","Wounds and Injuries","Device: Cellutome Epidermal Harvesting System|Procedure: Split Thickness Skin Graft","Rubin Institute for Advanced Orthopedics, Sinai Hospital of Baltimore, LifeBridge Health, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT02492048"
69,"Vacuum-Assisted Dressings (V-AD) in the Management of Open Chest Wounds","Recruiting","No Results Available","Open Chest Wounds","Device: Wound Vacuum-assisted dressing","Mauricia Buchanan, Jacksonville, Florida, United States","https://ClinicalTrials.gov/show/NCT02803164"
70,"Epidermal Coverage of Traumatic Wound Injuries Via Use of Autologous Spray Skin Applied Over Bilayered Wound Matrix","Terminated","Has Results","Wounds and Injury","Device: Recell|Procedure: Control","Walter Reed National Military Medical Center, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT02469168"
71,"Negative Pressure Wound Therapy vs Standard Care Dressing","Terminated","No Results Available","Negative-Pressure Wound Therapy","Device: Negative pressure wound therapy|Other: standard care dressing","UTMC, Toledo, Ohio, United States","https://ClinicalTrials.gov/show/NCT03566641"
72,"Non-Comparative Study of Open Abdomen That Require the Use of Negative Pressure Wound Therapy (NPWT) for Temporary Abdominal Closure","Withdrawn","No Results Available","Abdomenal Wound Trauma","Device: RENASYS® TOUCH Negative Pressure Wound Therapy (NPWT) Device","Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT03431220"
73,"Study to Compare Negative Pressure Wound Therapy or Standard Dressings After Orthopedic Surgery","Completed","Has Results","Wound of Knee|Wound of Hip","Device: Single-Use Negative Pressure Wound Therapy|Device: Standard postsurgical dressings","University of Missouri Health System, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT02064270"
74,"Effect of Oasis® Wound Matrix on Stage III and IV Trunk Pressure Wounds Treated With Negative Pressure Wound Therapy","Completed","Has Results","Open Wound Abdominal Wall|Wound Non Healing","Device: NPWT Standard of Care plus Oasis wound product|Device: Routine NPWT Standard of Care","Kettering Medical Center, Kettering, Ohio, United States","https://ClinicalTrials.gov/show/NCT02246608"
75,"Clinical Utility of a New Silver Gel for Use on Chronic Wounds","Completed","Has Results","Chronic Wounds","Device: Normlgel Ag","Joseph M. Still Research Foundation, Inc., Augusta, Georgia, United States","https://ClinicalTrials.gov/show/NCT01442103"
76,"Topical Hydromorphone for Wound Healing","Terminated","No Results Available","Wound Healing","Drug: hydromorphone","University of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00177060"
77,"The Role of Antimicrobial Foam Dressing in Prevention of Cesarean Section Wound Complications","Completed","No Results Available","Cesarean Section; Complications, Wound, Dehiscence","Device: Silver-impregnated antimicrobial dressing","Loyola University Medical Center, Maywood, Illinois, United States","https://ClinicalTrials.gov/show/NCT03136159"
78,"Effectiveness of Wound Closure Using V-Loc™ 90 Sutures in Lipoabdominoplasty Patients","Unknown status","No Results Available","Open Surgical Wounds","Device: conventional closure|Device: V-Loc 90","Vladimir Grigoryants, MD, Glendale, California, United States","https://ClinicalTrials.gov/show/NCT01574378"
79,"Management of Complex Wounds Using a Constant Tension External Tissue Expander","Terminated","Has Results","Wounds and Injuries","Device: DermaClose Group","University of Missouri Hospital and Clinics, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT01171521"
80,"Secondary Intention Wound Healing Versus Micrografting in Patients Undergoing Mohs Surgery","Terminated","Has Results","Impaired Wound Healing","Device: Micrografting","Mgh Curtis, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT01442844"
81,"Topical Silver for Prevention of Wound Infection After Cesarean Delivery","Terminated","Has Results","Wound Infection","Device: Silver-containing surgical dressing|Device: Cloth adhesive dressing","Vanderbilt University Hospital, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01169064"
82,"Does Use of a Wound After-care Summary Improve Patient Satisfaction and Time to Wound Healing?","Withdrawn","No Results Available","Wounds","Behavioral: After-care summary|Behavioral: Control group","VA Ann Arbor Healthcare System, Ann Arbor, MI, Ann Arbor, Michigan, United States|VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT00761839"
83,"Effects of Pulsatile Intravenous (IV) Insulin on Wound Healing in Diabetics","Terminated","No Results Available","Wound Healing|Diabetes","Procedure: Pulsatile Intravenous Insulin Therapy","Florida Atlantic University, Boca Raton, Florida, United States","https://ClinicalTrials.gov/show/NCT00967837"
84,"Wick vs. No Wick: Does Method of Closure Affect Rate of Wound Infection?","Withdrawn","No Results Available","Postoperative Wound Infection","Procedure: Wick dressing|Procedure: No Wick","Children's Healthcare of Atlanta at Egleston, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT01691352"
85,"Study of NanoDOX Hydrogel vs Placebo for Dehisced Surgical Wounds","Withdrawn","No Results Available","Dehisced Surgical Wounds","Drug: NanoDOX 1% doxycycline monohydrate Hydrogel|Drug: placebo hydrogel","Walter Reed National Military Medical Center, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01547325"
86,"Chlorine Dioxide Versus Saline for Wound Irrigation","Completed","No Results Available","Wound - in Medical Care","Biological: chlorine dioxide|Biological: saline","Rhode Island Hospital, Providence, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT01341041"
87,"Healing Chronic Venous Stasis Wounds With Autologous Cell Therapy","Active, not recruiting","No Results Available","Wound, Nonpenetrating","Device: Transpose ® RT System|Other: debridement/dressing of wound","Sanford USD Medical Center, Sioux Falls, South Dakota, United States","https://ClinicalTrials.gov/show/NCT02961699"
88,"Efficacy Study of a Bioelectric Dressing Used With Negative Pressure Wound Therapy to Treat Diabetic and Pressure Ulcers","Completed","No Results Available","Wound Healing","Device: Procellera™ Wound Dressing with V.A.C.® Therapy|Device: V.A.C.® Therapy","Wyckoff Heights Medical Center, Brooklyn, New York, United States","https://ClinicalTrials.gov/show/NCT01022216"
89,"Post-Market Clinical Evaluation of the Spiracur SNaP Wound Care System for Treatment of Acute Trauma and Acute Surgical Excision Wounds","Unknown status","No Results Available","Trauma-related Wound|Surgical Wound, Recent","Device: SNaP® Wound Care System","Cleveland Clinic, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT01417234"
90,"Use of Negative Pressure Wound Therapy in High Risk Surgical Closed Incisions","Completed","Has Results","High Risk Abdominal Wounds","Device: Negative Pressure treatment","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02137447"
91,"Sutureless Cryopreserved Amniotic Membrane Graft (ProKera) and Wound Healing After Photorefractive Keratectomy","Unknown status","Has Results","Corneal Wound Healing","Device: ProKera|Device: Bandage contact lens","Walter Reed Army Medical Center, Washington, District of Columbia, United States","https://ClinicalTrials.gov/show/NCT00915759"
92,"Efficacy Study of a Bioelectric Dressing to Treat Wounds Caused by Curettage and Electrodesiccation","Completed","No Results Available","Wound Healing|Wound Infection","Device: Procellera™ Antimicrobial Wound Dressing|Drug: ACTICOAT™ Antimicrobial Barrier Dressing|Drug: Mepilex® Ag Silver Foam Dressing","Sheftel Associates Dermatology, LLC, Oro Valley, Arizona, United States|Sheftel Associates Dermatology, LLC, Tucson, Arizona, United States","https://ClinicalTrials.gov/show/NCT01004055"
93,"Efficacy of Topical TolaSure on Acute Induced Wounds in Healthy Participants","Recruiting","No Results Available","Wound Healing","Drug: TolaSure Topical Gel","University of Miami, Miami, Florida, United States|J&S Studies, College Station, Texas, United States","https://ClinicalTrials.gov/show/NCT04088357"
94,"Study to Determine the Utility of Wound Vacuum Assisted Closure (VAC) Compared to Conventional Saline Dressing Changes","Terminated","No Results Available","Wounds|Compartment Syndromes","Device: Wound Care -Wound Vacuum Assisted Closure (VAC)|Procedure: Wound Care - Wet to Dry Dressing Changes","University Hospital, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT00121537"
95,"Clinical and Mechanistic Demonstration of a Bioelectric Dressing System for Non-healing Wound Management: A Phase II Trial","Terminated","No Results Available","Non-healing Soft Tissue Wounds","Drug: Procellera","Walter Reed National Military Medical Center, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT01784887"
96,"Feasibility Trial for Postoperative Wound Surveillance Using Smartphones","Completed","No Results Available","Surgical Wound Infection","Device: Smartphone monitoring","University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT02735525"
97,"Wound Vac Polypropylene Suture Pilot Study","Completed","No Results Available","Wound Vac|Suture","Other: Polypropylene Suture Right Side|Other: Polypropylene Suture Left Side","Greenville Health System, Greenville, South Carolina, United States","https://ClinicalTrials.gov/show/NCT02929238"
98,"PICO Negative Pressure Wound Therapy in Obese Women Undergoing Elective Cesarean Delivery.","Recruiting","No Results Available","Cesarean Section Complications|Cesarean Wound; Dehiscence|Cesarean Wound Disruption","Device: PICO Negative Pressure Wound Therapy|Device: Standard Dressing","Long Island Jewish Medical Center, New Hyde Park, New York, United States","https://ClinicalTrials.gov/show/NCT03414762"
99,"Efficacy Study of a Bioelectric Dressing to Treat Skin Graft Donor Site Wounds","Completed","No Results Available","Burns|Wound Healing","Device: Procellera (Bioelectric Wound Dressing)|Device: Opsite (Transparent Adhesive Dressing)","Blodgett Hospital, Grand Rapids, Michigan, United States","https://ClinicalTrials.gov/show/NCT01061502"
100,"The Role of Lipoaspirate Injection in the Treatment of Diabetic Lower Extremity Wounds and Venous Stasis Ulcers","Unknown status","No Results Available","Diabetic Wounds|Venous Stasis Wounds","Procedure: injection of lipoaspirate|Other: control","Veterans Affairs Medical Center, Washington D.C., Washington D.C., District of Columbia, United States","https://ClinicalTrials.gov/show/NCT00815217"
